Work Item Type,Requesting Dept/Agency,Received,Support Team,Category,Q1 - Courtesy,Q2 - Technical,Q3 - Timeliness,Q4 - Quality,Q5 - Overall
Service Request,Board of Supervisors,10/9/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,10/9/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,10/9/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,10/9/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,10/9/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,10/9/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,10/9/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Permit & Resource Management,10/8/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,UC Cooperative Extension,10/8/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,10/7/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,10/7/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,4,2,3,3
Incident,Sheriff's Office,10/5/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,10/2/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,10/2/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,10/2/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,10/2/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Community Development Commission,10/2/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,10/2/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,County Counsel,10/2/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,10/2/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,9/29/2015,The ISD Service Desk,Countywide Business Software,5,4,5,5,5
Incident,Information Systems,9/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,2,2,2
Incident,Community Development Commission,9/28/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,9/25/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,9/25/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,9/25/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,9/25/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,9/25/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Probation,9/25/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/25/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,9/25/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,9/25/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,9/25/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,9/25/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,9/25/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Incident,County Counsel,9/21/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,9/21/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,9/18/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Regional Parks,9/18/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,9/18/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/18/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,9/18/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,9/18/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Public Defender,9/18/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,9/18/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Probation,9/18/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,9/18/2015,The ISD Service Desk,Countywide Business Software,5,4,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,9/18/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,9/18/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,9/17/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,9/14/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,9/11/2015,The ISD Service Desk,Countywide Business Software,5,4,5,5,5
Service Request,Probation,9/11/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,9/11/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,9/11/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,9/9/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,9/9/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,9/8/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Board of Supervisors,9/5/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,9/4/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,9/4/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,9/4/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,9/4/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,9/4/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,9/4/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,9/4/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,9/4/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/4/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,District Attorney,9/3/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,9/2/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,County Counsel,9/2/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,General Services,9/1/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,9/1/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,9/1/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,9/1/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,9/1/2015,The ISD Service Desk,Countywide Business Software,5,4,5,5,5
Service Request,Permit & Resource Management,8/28/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,8/28/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Regional Parks,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Fire and Emergency Services,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Fire and Emergency Services,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,8/28/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,District Attorney,8/28/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,8/28/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,8/27/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Incident,Agricultural Commissioner,8/25/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,County Counsel,8/21/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,8/21/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Probation,8/21/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,8/21/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,8/21/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,8/21/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,8/21/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Open Space District,8/21/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,8/21/2015,The ISD Application Services Team,Countywide Business Software,5,4,5,5,5
Service Request,Human Resources,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,UC Cooperative Extension,8/21/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,8/21/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,8/21/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Probation,8/20/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,8/18/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Probation,8/18/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,8/18/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,8/17/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Permit & Resource Management,8/17/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,8/14/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,8/14/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Board of Supervisors,8/14/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,8/14/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,8/14/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,General Services,8/14/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,8/14/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Transportation & Public Works,8/14/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Community Development Commission,8/14/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,8/13/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,8/13/2015,The ISD Service Desk,Countywide Business Software,5,,5,5,5
Incident,Health Services,8/12/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Health Services,8/12/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,General Services,8/12/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Health Services,8/12/2015,The ISD Service Desk,Countywide Business Software,5,5,4,5,5
Incident,Sheriff's Office,8/12/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Board of Supervisors,8/11/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Community Development Commission,8/10/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,County Administrator's Office,8/7/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Grand Jury,8/7/2015,The ISD Service Desk,Countywide Business Software,5,4,5,5,5
Service Request,Economic Development Board,8/7/2015,The ISD Network Infrastructure Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,8/7/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,8/7/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,8/7/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,8/7/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,8/7/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,8/7/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,8/7/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,8/7/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,8/7/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,8/7/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,8/7/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,8/7/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,8/7/2015,The ISD Web Services Team,Countywide Business Software,5,5,4,5,5
Incident,UC Cooperative Extension,8/6/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,8/5/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,8/5/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Public Defender,8/4/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/31/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/31/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/31/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/31/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,7/31/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,7/31/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Employees Retirement Association,7/31/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,District Attorney,7/31/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,7/31/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Human Resources,7/30/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,7/29/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,District Attorney,7/28/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/27/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,7/24/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,7/24/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/24/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/24/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,7/24/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,County Administrator's Office,7/24/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Transportation & Public Works,7/24/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/24/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/21/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Community Development Commission,7/20/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,7/17/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,7/17/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,7/17/2015,The ISD Desktop Support Team,Countywide Business Software,5,1,1,1,1
Incident,Sheriff's Office,7/17/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,7/17/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/17/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/17/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/17/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,County Administrator's Office,7/17/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Health Services,7/17/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Probation,7/16/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Probation,7/14/2015,The ISD Desktop Support Team,Countywide Business Software,5,4,5,5,5
Incident,County Counsel,7/10/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,General Services,7/10/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/10/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,7/10/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,7/10/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,7/10/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,7/10/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,7/10/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,7/10/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Probation,7/10/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Community Development Commission,7/10/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Community Development Commission,7/9/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/8/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,7/8/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,7/7/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,County Counsel,7/7/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Incident,General Services,7/6/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,7/3/2015,The ISD Web Services Team,Countywide Business Software,5,4,3,3,3
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,7/3/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,7/3/2015,The ISD Web Services Team,Countywide Business Software,5,4,5,4,4
Incident,Auditor-Controller-Treasurer-Tax Collector,7/2/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,7/2/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,7/2/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Board of Supervisors,7/1/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Health Services,6/30/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,6/26/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,6/26/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,6/26/2015,The ISD Web Services Team,Countywide Business Software,5,,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,6/26/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,6/26/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,6/26/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,6/26/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,6/26/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/26/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Auditor-Controller-Treasurer-Tax Collector,6/19/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,District Attorney,6/19/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,6/19/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Clerk-Recorder-Assessor-Registrar of Voters,6/19/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,6/19/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,6/19/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,6/19/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,6/19/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,6/18/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,6/18/2015,The ISD Service Desk,Countywide Business Software,5,4,5,4,5
Service Request,District Attorney,6/12/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Information Systems,6/12/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/12/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Transportation & Public Works,6/12/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,6/12/2015,The ISD Datacenter Operations Team,Countywide Business Software,5,5,5,5,5
Service Request,Transportation & Public Works,6/12/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,6/12/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,6/12/2015,The ISD Application Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,6/12/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,6/12/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Community Development Commission,6/12/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,General Services,6/11/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Sonoma County Employees Retirement Association,6/11/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,6/11/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Incident,Sheriff's Office,6/10/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,6/5/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,6/5/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Service Request,Regional Parks,6/5/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,County Administrator's Office,6/5/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Permit & Resource Management,6/5/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Employees Retirement Association,6/5/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Board of Supervisors,6/5/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Probation,6/5/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,,5,5,5
Incident,Health Services,6/5/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Service Request,Community Development Commission,6/5/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Agricultural Commissioner,6/4/2015,The ISD Desktop Support Team,Countywide Business Software,5,5,5,5,5
Incident,Information Systems,6/3/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Economic Development Board,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sonoma County Transportation Authority,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Human Resources,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,5/29/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,5/29/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Probation,5/29/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Health Services,5/29/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Transportation & Public Works,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,General Services,5/29/2015,The ISD Service Desk,Countywide Business Software,5,5,5,5,5
Service Request,Agricultural Commissioner,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Service Request,Sheriff's Office,5/29/2015,The ISD Service Desk,Countywide Business Software,5,5,4,5,5
Service Request,Transportation & Public Works,5/29/2015,The ISD Geographic Information System Team,Countywide Business Software,5,5,5,5,5
Service Request,Health Services,5/29/2015,The ISD Web Services Team,Countywide Business Software,5,5,5,5,5
Incident,Probation,5/28/2015,The ISD Integrated Justice System Team,Countywide Business Software,5,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,6/4/2019,The ISD Application Services Team,Data,5,5,5,5,5
